dataset,strategy_or_signal,signal_validity,discovery_gain,composition_change,diversification_or_concentration,category_safety,source_or_session_safety,acquisition_reproducibility,downstream_overall_utility,downstream_rare_utility,operational_utility,dominant_mechanism,final_decision,evidence_level,source_file
GC10-DET,FrozenDINOVisualDiversity q20,selection discovery valid within paired fixed pool,"rare images +2.720; CI [2.455,2.980]",combined classes +0.825; filename groups +1.465,diversification,mostly nonnegative (172/200 Q1),filename proxy only; no production claim,200 paired leave-20 perturbations,q20 mAP +0.017378,rare macro AP -0.019877,translation gate FAIL,coverage_utility_gap,DISCOVERY_APPROVE / DETECTOR_REJECT,paired_existing_record + confirmatory downstream fail,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv; runs/gc10_detector_confirmation/gc10_dev_confirm_5acq_3train_20260715/detector_development_confirmation_gate.csv
MPDD,FrozenCategoryBalancedDINO,target discovery descriptive positive,"anomaly images +6.245; CI [5.885,6.605]",category coverage -0.325; capture days +1.130,source_confounded_diversification,frozen threshold failed,official-test origin explains 67.3% of gain,200 paired leave-20 perturbations,not tested; task mismatch,not applicable,selection safety FAIL,source_confounded_diversification,DISCOVERY_DESCRIBE / DOWNSTREAM_HOLD,paired_existing_record descriptive,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv; docs/metadata_feasibility_decision_20260718.md
VisA,FrozenDINOVisualDiversity,target discovery strong within fixed pool,"anomaly images +14.480; CI [14.195,14.770]",categories -4.110; entropy -0.929016; HHI +0.286025,category_collapse,failed in 200/200 paired seeds,source not separable from category,200 paired leave-20 perturbations,not tested; task mismatch,not applicable,SAFETY_REJECT,category_collapse,SAFETY_REJECT,paired_existing_record descriptive,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv
GC10-DET,First DINO detector translation q20,selection gate passed,rare +2.720,taxonomy +0.825,diversification,selection positive,proxy only,5 acquisition units,mAP +0.017378,rare macro -0.019877,frozen gate FAIL,overall_map_rare_safety_tradeoff,DETECTOR_REJECT,confirmatory_fail,runs/gc10_detector_confirmation/gc10_dev_confirm_5acq_3train_20260715/detector_development_confirmation_gate.csv
GC10-DET,DINOClusterCoverageK40/140,holdout coverage valid,rare images +1.820,all-class 0.955 vs 0.940,diversification,selection PASS,production-group field is proxy,200 design + 200 holdout seeds,mAP -0.001678,rare -0.018290; recall -0.021871,downstream FAIL,coverage_utility_gap,CLOSE,confirmatory selection pass + downstream fail,runs/dcal_xai/v2_budget_extended/decision.json; runs/dcal_xai/v2_backbone_main/v8n_screen_decision.json
NEU-DET,Seed45 Visual20 fixed set,fixed selected-set effect,not primary,one fixed query set,not generalized,4/6 class AP nonnegative,not assessed,one acquisition set only,mAP +0.016236; 5/5 training seeds,not separate endpoint,diagnostic only,fixed_set_training_stability,DIAGNOSTIC_ONLY,descriptive_positive,runs/seed45_fixed_set_stability/seed45_fixed_set_stability_main/screen_gate.csv
NEU-DET,Independent Visual acquisition confirmation,preregistered acquisition test,not primary,10 new selected sets,variable,per-class confirmation not sufficient,not assessed,10 acquisition seeds,mAP +0.007019; CI crosses 0; p=0.322266,not confirmed,gate FAIL,acquisition_non_generalization,CLOSE,confirmatory_negative,runs/active_learning_v8_cold_start_confirmation/v8_cold_start_visual_confirm_main/confirmatory_gate.csv
GC10-DET,V2.3 ensemble detector uncertainty,above-chance error ranking,not a discovery selector,top20% review set,not evaluated,rare support small,not evaluated,5 acquisition units x 3 training seeds,total-error enrichment 1.115901 < 1.50,FN 1.379693; rare-FN 1.785910 exploratory,primary gate FAIL,ranking_without_operational_enrichment,CLOSE_AS_AL,confirmatory fail + exploratory secondary,runs/dcal_xai/v2_detector_signal_validity/decision.json
GC10-DET; NEU-DET,VLM explanation consistency,invalid under frozen audits,not authorized,not applicable,grounding_collapse,not reached,not reached,not reached,not authorized,not authorized,0/6 legacy gate checks,grounding_collapse,CLOSE,confirmatory_negative,runs/vlm_consistency_groundedness_validity/legacy_pilot_audit_20260715_main/legacy_validity_gate.csv
GC10-DET,Horizontal-flip disagreement,confounded,rare +2.0 descriptive,query instances -2.2,geometry_confound,instance noninferiority failed,not assessed,5 acquisition seeds,not authorized,not authorized,selection gate FAIL,geometry_confound,CLOSE,diagnostic,runs/dcal_xai/gc10_r1/selection_summary.md
DeepPCB,Frozen aligned reference-residual richness,G1 score-instance Spearman mean 0.412174; positive 6/6,total bbox enrichment 1.107693 < frozen 1.20; small secondary 1.307591,class coverage delta 0; max-class-share delta -0.002072,small-box excess group concentration 45.79%; main area 577-1024 px²,class coverage preserved in parent audit,six design groups; one-group dominance rule failed,prospective six-group parent selection; mechanism LOO positive but A2,not authorized; detector training 0,not tested,primary G2 FAIL; Phase B NO_CANDIDATE,positive_secondary_signal_without_robust_candidate,PROSPECTIVE_STOP / BRANCH_CLOSED,prospective primary fail + post-hoc mechanism audit + development-only negative,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json; runs/deeppcb_small_defect_mechanism_audit/phase_a_decision.json; runs/deeppcb_reference_residual_development/frozen_candidate.json
