treatment,baseline,metric,num_pairs,mean_paired_difference,std_paired_difference,wins,ties,losses,bootstrap_ci95_low,bootstrap_ci95_high,exact_sign_flip_pvalue,relative_improvement_percent_mean
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,normalized_aulc_map5095,5,-0.0027016499999999916,0.018692704444055512,3,0,2,-0.018547825000000004,0.010049925000000015,0.875,-1.6584061442131233
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,normalized_aulc_map50,5,-0.0016871249999999727,0.03751594109071334,3,0,2,-0.03253164999999994,0.025994300000000015,1.0,-0.3740683385617011
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,final_map5095,5,-0.0073104,0.020160804306872282,1,0,4,-0.0219044,0.009152599999999993,0.4375,-3.45272004594914
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,final_map50,5,-0.008034999999999981,0.020033424794577696,2,0,3,-0.023488799999999987,0.00755180000000003,0.4375,-1.9497969849056491
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,normalized_aulc_map5095,5,0.005500225000000006,0.0072397642110257916,4,0,1,0.0007643500000000109,0.011640149999999991,0.1875,4.885603381036022
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,normalized_aulc_map50,5,0.011898150000000001,0.01861609412796491,3,0,2,-0.0026928249999999933,0.026489124999999995,0.3125,4.39985165554557
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,final_map5095,5,0.014312599999999991,0.013602128502554293,5,0,0,0.003924599999999995,0.02470059999999999,0.0625,10.825564501150174
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,final_map50,5,0.03567680000000001,0.0350041187605116,4,0,1,0.007060400000000011,0.06152420000000001,0.1875,11.444677265226904
GTFreeDatasetBalancedConsistency,GTFreeRandom,normalized_aulc_map5095,5,-0.008201874999999997,0.019652626321984615,2,0,3,-0.02334962499999999,0.006091974999999997,0.4375,-5.94284142091243
GTFreeDatasetBalancedConsistency,GTFreeRandom,normalized_aulc_map50,5,-0.013585274999999975,0.038279600822272136,2,0,3,-0.04491722499999995,0.015286275000000016,0.5,-4.331668164450994
GTFreeDatasetBalancedConsistency,GTFreeRandom,final_map5095,5,-0.021622999999999993,0.022830250973215345,0,0,5,-0.041959399999999994,-0.006694999999999995,0.0625,-12.314632577437683
GTFreeDatasetBalancedConsistency,GTFreeRandom,final_map50,5,-0.04371179999999999,0.028151881024187354,0,0,5,-0.0679138,-0.023084999999999987,0.0625,-11.52836235867074
