acquisition_seed,strategy,round,selected_batch_pairwise_cosine_similarity_mean,selected_batch_pairwise_cosine_similarity_max,num_embedded_selected
42,GTFreeDatasetBalancedConsistency,1,0.6864755153656006,0.8689812421798706,5
42,GTFreeDatasetBalancedConsistency,2,0.23410508036613464,0.46065106987953186,5
42,GTFreeDatasetBalancedConsistency,3,0.379755437374115,0.673129677772522,5
42,GTFreeDatasetBalancedConsistency,4,0.3902747333049774,0.5410606861114502,5
42,GTFreeDatasetBalancedVisualDiversity,1,0.3799133002758026,0.6066778302192688,5
42,GTFreeDatasetBalancedVisualDiversity,2,0.41202038526535034,0.5366877317428589,5
42,GTFreeDatasetBalancedVisualDiversity,3,0.4023529589176178,0.6067736148834229,5
42,GTFreeDatasetBalancedVisualDiversity,4,0.37510842084884644,0.5133830904960632,5
42,GTFreeRandom,1,0.5238358974456787,0.7412299513816833,5
42,GTFreeRandom,2,0.488940566778183,0.7099860906600952,5
42,GTFreeRandom,3,0.43668073415756226,0.5586179494857788,5
42,GTFreeRandom,4,0.43869081139564514,0.779433012008667,5
43,GTFreeDatasetBalancedConsistency,1,0.4615672528743744,0.7124243974685669,5
43,GTFreeDatasetBalancedConsistency,2,0.488675057888031,0.8069970607757568,5
43,GTFreeDatasetBalancedConsistency,3,0.36046576499938965,0.818049430847168,5
43,GTFreeDatasetBalancedConsistency,4,0.36420920491218567,0.5640463829040527,5
43,GTFreeDatasetBalancedVisualDiversity,1,0.43885141611099243,0.6378383040428162,5
43,GTFreeDatasetBalancedVisualDiversity,2,0.310147762298584,0.5358665585517883,5
43,GTFreeDatasetBalancedVisualDiversity,3,0.4408188760280609,0.6588704586029053,5
43,GTFreeDatasetBalancedVisualDiversity,4,0.369465172290802,0.4469475746154785,5
43,GTFreeRandom,1,0.47372397780418396,0.7837815880775452,5
43,GTFreeRandom,2,0.5184429883956909,0.6376570463180542,5
43,GTFreeRandom,3,0.35284560918807983,0.5976887941360474,5
43,GTFreeRandom,4,0.47170910239219666,0.7693771123886108,5
44,GTFreeDatasetBalancedConsistency,1,0.43452462553977966,0.7124243974685669,5
44,GTFreeDatasetBalancedConsistency,2,0.5164570808410645,0.8689812421798706,5
44,GTFreeDatasetBalancedConsistency,3,0.4651173949241638,0.818049430847168,5
44,GTFreeDatasetBalancedConsistency,4,0.35504645109176636,0.5640463829040527,5
44,GTFreeDatasetBalancedVisualDiversity,1,0.44658559560775757,0.5613576173782349,5
44,GTFreeDatasetBalancedVisualDiversity,2,0.3897199034690857,0.4951070547103882,5
44,GTFreeDatasetBalancedVisualDiversity,3,0.4357614517211914,0.6052414178848267,5
44,GTFreeDatasetBalancedVisualDiversity,4,0.45014315843582153,0.673129677772522,5
44,GTFreeRandom,1,0.3730285167694092,0.7346398830413818,5
44,GTFreeRandom,2,0.5237258076667786,0.7609851360321045,5
44,GTFreeRandom,3,0.42922013998031616,0.614702582359314,5
44,GTFreeRandom,4,0.44079089164733887,0.6975340843200684,5
45,GTFreeDatasetBalancedConsistency,1,0.7577856779098511,0.8689812421798706,5
45,GTFreeDatasetBalancedConsistency,2,0.38971543312072754,0.46065106987953186,5
45,GTFreeDatasetBalancedConsistency,3,0.39845070242881775,0.7124243974685669,5
45,GTFreeDatasetBalancedConsistency,4,0.3803969621658325,0.6160152554512024,5
45,GTFreeDatasetBalancedVisualDiversity,1,0.3843349516391754,0.569982647895813,5
45,GTFreeDatasetBalancedVisualDiversity,2,0.3785250782966614,0.5316299200057983,5
45,GTFreeDatasetBalancedVisualDiversity,3,0.42435112595558167,0.6097350120544434,5
45,GTFreeDatasetBalancedVisualDiversity,4,0.39832308888435364,0.636049747467041,5
45,GTFreeRandom,1,0.32793518900871277,0.5483095645904541,5
45,GTFreeRandom,2,0.347310334444046,0.510260820388794,5
45,GTFreeRandom,3,0.5058761239051819,0.6787247657775879,5
45,GTFreeRandom,4,0.46767139434814453,0.6624675989151001,5
46,GTFreeDatasetBalancedConsistency,1,0.496674120426178,0.7813771963119507,5
46,GTFreeDatasetBalancedConsistency,2,0.3433024287223816,0.6031988263130188,5
46,GTFreeDatasetBalancedConsistency,3,0.4384891390800476,0.673129677772522,5
46,GTFreeDatasetBalancedConsistency,4,0.4157102704048157,0.5782557725906372,5
46,GTFreeDatasetBalancedVisualDiversity,1,0.27615904808044434,0.5613576173782349,5
46,GTFreeDatasetBalancedVisualDiversity,2,0.5023309588432312,0.6298074722290039,5
46,GTFreeDatasetBalancedVisualDiversity,3,0.41805848479270935,0.583969235420227,5
46,GTFreeDatasetBalancedVisualDiversity,4,0.3373112082481384,0.6426398754119873,5
46,GTFreeRandom,1,0.43833860754966736,0.7837815880775452,5
46,GTFreeRandom,2,0.37543970346450806,0.6537133455276489,5
46,GTFreeRandom,3,0.44599756598472595,0.6932037472724915,5
46,GTFreeRandom,4,0.5508294105529785,0.8374035358428955,5
